id,dependencies,projects,full license list,license urls
BSD-3-Clause OR Apache-2.0,python-dateutil@2.9.0.post0,swirlds/infrastructure:terraform/deployments/council-member-bucket-permission/bucket_permission_testing/requirement.txt,"BSD-3-Clause, Apache-2.0","https://app.snyk.io/vuln/snyk:lic:BSD-3-Clause, https://app.snyk.io/vuln/snyk:lic:Apache-2.0"
BSL-1.0,boost-for-react-native@1.63.0,hashgraph/hethers.js(master):misc/ReactNativeTestApp/ios/Podfile,BSL-1.0,https://app.snyk.io/vuln/snyk:lic:BSL-1.0
CC-BY-3.0,"spdx-exceptions@2.2.0, spdx-exceptions@2.3.0, spdx-exceptions@2.5.0","hashgraph/quorum(master):dashboard/assets/package.json, hashgraph/hedera-fee-tool-js(master):package.json, hashgraph/hedera-accelerator-defi-dex(main):package.json, hashgraph/hedera-nft-utilities(main):package.json, hashgraph/hedera-transaction-tool(main):back-end/package.json",CC-BY-3.0,https://app.snyk.io/vuln/snyk:lic:CC-BY-3.0
CC-BY-3.0-US,github.com/ajstarks/svgo@v0.0.0-20180226025133-644b8db467af,"hashgraph/private-hedera-services:hedera-node/test-clients/uniswap-go-clients/go.mod, hashgraph/hedera-mirror-node(main):hedera-mirror-rosetta/go.mod",CC-BY-3.0-US,https://app.snyk.io/vuln/snyk:lic:CC-BY-3.0-US
CC-BY-4.0,"caniuse-lite@1.0.30000971, caniuse-lite@1.0.30000974, caniuse-lite@1.0.30001228, caniuse-lite@1.0.30001296, caniuse-lite@1.0.30001334, caniuse-lite@1.0.30001532, caniuse-lite@1.0.30001538, caniuse-lite@1.0.30001608, caniuse-lite@1.0.30001617, caniuse-lite@1.0.30001627, caniuse-lite@1.0.30001649","hashgraph/hedera-fee-tool-js(master):package.json, hashgraph/quorum(master):dashboard/assets/package.json, hashgraph/hedera-nft-auction-demo(main):hedera-nft-auction-demo-javascript-client/package.json, hashgraph/hedera-nft-auction-demo:hedera-nft-auction-demo-javascript-client/package.json, hashgraph/hedera-sourcify(main):ui/package.json, hashgraph/hedera-grpcWeb-proxy(main):TestWeb/package.json, @hashgraph-dev/stablecoin-dapp, hashgraph/stablecoin-studio(main):web/package.json, hashgraph/hedera-accelerator-defi-dex-ui(main):package.json, hashgraph/hedera-smart-contracts(main):system-contract-dapp-playground/package.json, hashgraph/hedera-nft-utilities(main):package.json, hashgraph/hethers.js(master):misc/ReactNativeTestApp/package.json",CC-BY-4.0,https://app.snyk.io/vuln/snyk:lic:CC-BY-4.0
CC0-1.0,"blakejs@1.1.0, blakejs@1.1.1, css-blank-pseudo@0.1.4, css-blank-pseudo@3.0.2, css-blank-pseudo@3.0.3, cssdb@4.4.0, cssdb@5.0.0, cssdb@7.7.2, css-has-pseudo@0.10.0, css-has-pseudo@3.0.2, css-has-pseudo@3.0.4, css-prefers-color-scheme@3.1.1, css-prefers-color-scheme@6.0.2, css-prefers-color-scheme@6.0.3, @csstools/convert-colors@1.4.0, @csstools/normalize.css@12.0.0, @csstools/normalize.css@9.0.1, @csstools/postcss-cascade-layers@1.1.1, @csstools/postcss-color-function@1.1.1, @csstools/postcss-font-format-keywords@1.0.1, @csstools/postcss-hwb-function@1.0.2, @csstools/postcss-ic-unit@1.0.1, @csstools/postcss-is-pseudo-class@2.0.7, @csstools/postcss-nested-calc@1.0.0, @csstools/postcss-normalize-display-values@1.0.1, @csstools/postcss-oklab-function@1.1.1, @csstools/postcss-progressive-custom-properties@1.3.0, @csstools/postcss-stepped-value-functions@1.0.1, @csstools/postcss-text-decoration-shorthand@1.0.0, @csstools/postcss-trigonometric-functions@1.0.2, @csstools/postcss-unset-value@1.0.2, @csstools/selector-specificity@2.2.0, fastestsmallesttextencoderdecoder@1.0.21, fastestsmallesttextencoderdecoder@1.0.22, github.com/pascaldekloe/goe@v0.0.0-20180627143212-57f6aae5913c, jekyll-theme-architect@0.2.0, jekyll-theme-cayman@0.2.0, jekyll-theme-dinky@0.2.0, jekyll-theme-hacker@0.2.0, jekyll-theme-leap-day@0.2.0, jekyll-theme-merlot@0.2.0, jekyll-theme-midnight@0.2.0, jekyll-theme-minimal@0.2.0, jekyll-theme-modernist@0.2.0, jekyll-theme-slate@0.2.0, jekyll-theme-tactile@0.2.0, jekyll-theme-time-machine@0.2.0, language-subtag-registry@0.3.22, mdn-data@2.0.14, mdn-data@2.0.4, net.i2p.crypto:eddsa@0.3.0, org.reactivestreams:reactive-streams@1.0.0, org.reactivestreams:reactive-streams@1.0.2, postcss-browser-comments@2.0.0, postcss-browser-comments@4.0.0, postcss-color-functional-notation@2.0.1, postcss-color-functional-notation@4.2.1, postcss-color-functional-notation@4.2.4, postcss-color-mod-function@3.0.3, postcss-color-rebeccapurple@7.0.2, postcss-color-rebeccapurple@7.1.1, postcss-dir-pseudo-class@5.0.0, postcss-dir-pseudo-class@6.0.2, postcss-dir-pseudo-class@6.0.5, postcss-double-position-gradients@1.0.0, postcss-double-position-gradients@3.0.4, postcss-double-position-gradients@3.1.2, postcss-env-function@2.0.2, postcss-env-function@4.0.4, postcss-env-function@4.0.6, postcss-focus-visible@4.0.0, postcss-focus-visible@6.0.3, postcss-focus-visible@6.0.4, postcss-focus-within@3.0.0, postcss-focus-within@5.0.3, postcss-focus-within@5.0.4, postcss-gap-properties@2.0.0, postcss-gap-properties@3.0.2, postcss-gap-properties@3.0.5, postcss-image-set-function@3.0.1, postcss-image-set-function@4.0.4, postcss-image-set-function@4.0.7, postcss-lab-function@2.0.1, postcss-lab-function@4.0.3, postcss-lab-function@4.2.1, postcss-logical@3.0.0, postcss-logical@5.0.2, postcss-logical@5.0.4, postcss-nesting@10.1.1, postcss-nesting@10.2.0, postcss-nesting@7.0.0, postcss-normalize@10.0.1, postcss-normalize@7.0.1, postcss-overflow-shorthand@2.0.0, postcss-overflow-shorthand@3.0.2, postcss-overflow-shorthand@3.0.4, postcss-place@4.0.1, postcss-place@7.0.3, postcss-place@7.0.5, postcss-preset-env@6.6.0, postcss-preset-env@7.2.0, postcss-preset-env@7.8.3, postcss-pseudo-class-any-link@6.0.0, postcss-pseudo-class-any-link@7.0.2, postcss-pseudo-class-any-link@7.1.6, pyblake2@1.1.2, railroad-diagrams@1.0.0, sanitize.css@13.0.0, spdx-license-ids@3.0.15, spdx-license-ids@3.0.17, spdx-license-ids@3.0.18, spdx-license-ids@3.0.4, string-hash@1.1.3","hashgraph/hedera-stable-coin-solidity-ethereum(master):package.json, hashgraph/hedera-stable-coin-demo(master):stable-coin-admin/package.json, hashgraph/hedera-stable-coin-demo(master):stable-coin-client/package.json, hashgraph/hedera-nft-auction-demo(main):hedera-nft-auction-demo-javascript-client/package.json, hashgraph/hedera-nft-auction-demo:hedera-nft-auction-demo-javascript-client/package.json, hashgraph/hedera-smart-contracts-libs-lab(main):javascriptWithAbiDecoder/package.json, hashgraph/hedera-smart-contracts-libs-lab(main):javascriptDecodeRevert/package.json, hashgraph/hedera-smart-contracts-libs-lab(main):javascriptWithWeb3js/package.json, hashgraph/hedera-fee-tool-js(master):package.json, hashgraph/hedera-sourcify(main):ui/package.json, hashgraph/stablecoin-studio(main):web/package.json, @hashgraph-dev/stablecoin-dapp, hashgraph/hedera-hcs-token-example(master):javascript/hedera-hcs-token-example-server/package.json, hashgraph/hedera-hcs-token-example(master):javascript/hedera-hcs-token-example-ui/package.json, hashgraph/hedera-stablecoin-demo-archived(master):ui/package.json, hashgraph/hedera-hcs-chat-js(master):package.json, hashgraph/hedera-stablecoin-demo-archived(master):sdk/package.json, hashgraph/hedera-fabric-txmapper(master):txmapper/go.mod, hashgraph/hedera-improvement-proposal(main):Gemfile.lock, hashgraph/hedera-smart-contracts(main):system-contract-dapp-playground/package.json, private-hedera-services/test-clients:build.gradle.kts, private-hedera-services/app-service-file-impl:build.gradle.kts, hashgraph/hedera-transaction-tool-demo(main):tools-cli/pom.xml, private-hedera-services/app-hapi-fees:build.gradle.kts, private-hedera-services/app-service-schedule-impl:build.gradle.kts, hashgraph/hedera-transaction-tool-demo(main):tools-ui/pom.xml, private-hedera-services/app-service-util:build.gradle.kts, private-hedera-services/config:build.gradle.kts, private-hedera-services/app-service-evm-impl:build.gradle.kts, private-hedera-services/app-service-token-impl:build.gradle.kts, private-hedera-services/app-service-network-admin-impl:build.gradle.kts, private-hedera-services/app-service-mono:build.gradle.kts, private-hedera-services/app-service-token:build.gradle.kts, hashgraph/hedera-transaction-tool-demo(main):tools-core/pom.xml, private-hedera-services/app-service-consensus-impl:build.gradle.kts, private-hedera-services/app-service-network-admin:build.gradle.kts, private-hedera-services/app-service-util-impl:build.gradle.kts, private-hedera-services/app-service-file:build.gradle.kts, private-hedera-services/services-cli:build.gradle.kts, private-hedera-services/hapi:build.gradle.kts, private-hedera-services/app-spi:build.gradle.kts, private-hedera-services/app-service-evm:build.gradle.kts, private-hedera-services/app-hapi-utils:build.gradle.kts, private-hedera-services/app-service-consensus:build.gradle.kts, private-hedera-services/app-service-contract:build.gradle.kts, private-hedera-services/app-service-schedule:build.gradle.kts, private-hedera-services/app:build.gradle.kts, private-hedera-services/app-service-contract-impl:build.gradle.kts, hashgraph/hedera-protobufs-java(main):pom.xml, hashgraph/hedera-stablecoin-demo-archived(master):e2eTesting/pom.xml, hashgraph/hedera-stable-coin-demo(master):stable-coin-platform/build.gradle, hashgraph/hedera-hcs-erc721-sample(master):contract/build.gradle, hashgraph/hedera-nft-auction-demo(main):hedera-nft-auction-demo-java-node/build.gradle, hashgraph/hedera-hcs-sxc-java(main):hcs-sxc-java-examples/hcs-sxc-java-cloudwatch/pom.xml, hashgraph/hedera-stable-coin-demo(master):stable-coin-bridge/build.gradle, hashgraph/hedera-stable-coin(master):build.gradle, hashgraph/hedera-nft-auction-demo:hedera-nft-auction-demo-java-node/build.gradle, hashgraph/trezor-firmware(master):python/requirements.txt, hashgraph/hedera-mirror-node(main):hedera-mirror-rest/package.json, hashgraph/hedera-accelerator-defi-dex(main):package.json, hashgraph/hedera-transaction-tool(main):back-end/package.json, hashgraph/hedera-nft-utilities(main):package.json, hashgraph/quorum(master):dashboard/assets/package.json",CC0-1.0,https://app.snyk.io/vuln/snyk:lic:CC0-1.0
CDDL-1.0,"org.connid:framework@1.3.2, org.connid:framework-internal@1.3.2","private-hedera-services/test-clients:build.gradle.kts, private-hedera-services/app-service-file-impl:build.gradle.kts, private-hedera-services/app-hapi-fees:build.gradle.kts, hedera-mirror-node/web3:build.gradle.kts, hedera-mirror-node/test:build.gradle.kts, private-hedera-services/app-service-schedule-impl:build.gradle.kts, private-hedera-services/app-service-util:build.gradle.kts, private-hedera-services/config:build.gradle.kts, private-hedera-services/app-service-evm-impl:build.gradle.kts, hedera-mirror-node/grpc:build.gradle.kts, private-hedera-services/app-service-token-impl:build.gradle.kts, private-hedera-services/app-service-network-admin-impl:build.gradle.kts, private-hedera-services/app-service-mono:build.gradle.kts, private-hedera-services/app-service-token:build.gradle.kts, hedera-mirror-node/importer:build.gradle.kts, node/importer:build.gradle.kts, private-hedera-services/app-service-consensus-impl:build.gradle.kts, hedera-mirror-node/rest-java:build.gradle.kts, node/web3:build.gradle.kts, node/common:build.gradle.kts, node/rest-java:build.gradle.kts, hedera-mirror-node/common:build.gradle.kts, private-hedera-services/app-service-network-admin:build.gradle.kts, hedera-mirror-node/graphql:build.gradle.kts, private-hedera-services/app-service-util-impl:build.gradle.kts, private-hedera-services/app-service-file:build.gradle.kts, private-hedera-services/services-cli:build.gradle.kts, private-hedera-services/hapi:build.gradle.kts, private-hedera-services/app-spi:build.gradle.kts, node/test:build.gradle.kts, private-hedera-services/app-service-evm:build.gradle.kts, private-hedera-services/app-hapi-utils:build.gradle.kts, node/grpc:build.gradle.kts, private-hedera-services/app-service-consensus:build.gradle.kts, private-hedera-services/app-service-contract:build.gradle.kts, private-hedera-services/app-service-schedule:build.gradle.kts, private-hedera-services/app:build.gradle.kts, node/graphql:build.gradle.kts, private-hedera-services/app-service-contract-impl:build.gradle.kts",CDDL-1.0,https://app.snyk.io/vuln/snyk:lic:CDDL-1.0
CDDL-1.1,"javax.activation:activation@1.1, org.glassfish:javax.json@1.1.4","hashgraph/hedera-accelerator-loyalty:hedera-loyalty-rewards-back-end/business/embedded/build.gradle, private-hedera-services/test-clients:build.gradle.kts, private-hedera-services/app-service-file-impl:build.gradle.kts, private-hedera-services/app-hapi-fees:build.gradle.kts, private-hedera-services/app-service-schedule-impl:build.gradle.kts, private-hedera-services/app-service-util:build.gradle.kts, private-hedera-services/config:build.gradle.kts, private-hedera-services/app-service-evm-impl:build.gradle.kts, private-hedera-services/app-service-token-impl:build.gradle.kts, private-hedera-services/app-service-network-admin-impl:build.gradle.kts, private-hedera-services/app-service-mono:build.gradle.kts, private-hedera-services/app-service-token:build.gradle.kts, private-hedera-services/app-service-consensus-impl:build.gradle.kts, node/web3:build.gradle.kts, private-hedera-services/app-service-network-admin:build.gradle.kts, private-hedera-services/app-service-util-impl:build.gradle.kts, private-hedera-services/app-service-file:build.gradle.kts, private-hedera-services/services-cli:build.gradle.kts, private-hedera-services/hapi:build.gradle.kts, private-hedera-services/app-spi:build.gradle.kts, private-hedera-services/app-service-evm:build.gradle.kts, private-hedera-services/app-hapi-utils:build.gradle.kts, private-hedera-services/app-service-consensus:build.gradle.kts, private-hedera-services/app-service-contract:build.gradle.kts, private-hedera-services/app-service-schedule:build.gradle.kts, private-hedera-services/app:build.gradle.kts, private-hedera-services/app-service-contract-impl:build.gradle.kts",CDDL-1.1,https://app.snyk.io/vuln/snyk:lic:CDDL-1.1
CPL-1.0,junit:junit@4.10,hashgraph/hedera-hcs-sxc-java(main):hcs-sxc-java-examples/hcs-sxc-java-cloudwatch/pom.xml,CPL-1.0,https://app.snyk.io/vuln/snyk:lic:CPL-1.0
EDL-1.0,"com.sun.xml.bind:jaxb-core@4.0.4, com.sun.xml.bind:jaxb-core@4.0.5, com.sun.xml.bind:jaxb-impl@4.0.4, com.sun.xml.bind:jaxb-impl@4.0.5, jakarta.activation:jakarta.activation-api@1.2.1, jakarta.activation:jakarta.activation-api@2.1.2, jakarta.activation:jakarta.activation-api@2.1.3, jakarta.xml.bind:jakarta.xml.bind-api@2.3.2, jakarta.xml.bind:jakarta.xml.bind-api@4.0.1, jakarta.xml.bind:jakarta.xml.bind-api@4.0.2","node/importer:build.gradle.kts, hedera-mirror-node/importer:build.gradle.kts, hashgraph/hedera-hcs-sxc-java(main):hcs-sxc-java-examples/hcs-sxc-java-settlement-demo/pom.xml, hashgraph/hedera-hcs-sxc-java(main):hcs-sxc-java-coverage/pom.xml, hashgraph/hedera-stablecoin-demo-archived(master):e2eTesting/pom.xml, hashgraph/hedera-hcs-sxc-java(main):hcs-sxc-java-examples/hcs-sxc-java-token-demo/pom.xml, node/web3:build.gradle.kts, node/common:build.gradle.kts, node/rest-java:build.gradle.kts, node/test:build.gradle.kts, node/protobuf:build.gradle.kts, node/grpc:build.gradle.kts, node/monitor:build.gradle.kts, node/graphql:build.gradle.kts, hedera-mirror-node/web3:build.gradle.kts, hedera-mirror-node/test:build.gradle.kts, hedera-mirror-node/grpc:build.gradle.kts, hedera-mirror-node/rest-java:build.gradle.kts, hedera-mirror-node/protobuf:build.gradle.kts, hedera-mirror-node/common:build.gradle.kts, hedera-mirror-node/monitor:build.gradle.kts, hedera-mirror-node/graphql:build.gradle.kts",EDL-1.0,https://app.snyk.io/vuln/snyk:lic:EDL-1.0
EPL-1.0,"junit:junit@4.12, junit:junit@4.13.2, org.aspectj:aspectjweaver@1.9.20.1, org.aspectj:aspectjweaver@1.9.22.1, org.aspectj:aspectjweaver@1.9.5","hashgraph/fabric-samples-hcs(master):fabcar/java/pom.xml, hashgraph/hedera-transaction-tool-demo(main):tools-cli/pom.xml, hashgraph/hedera-transaction-tool-demo(main):tools-ui/pom.xml, hashgraph/hedera-transaction-tool-demo(main):tools-integration/pom.xml, hashgraph/hedera-transaction-tool-demo(main):tools-core/pom.xml, hashgraph/ethereumj(hedera):ethereumj-core/build.gradle, hashgraph/hedera-protobufs-java(main):pom.xml, private-hedera-services/test-clients:build.gradle.kts, hedera-mirror-node/web3:build.gradle.kts, hedera-mirror-node/grpc:build.gradle.kts, hedera-mirror-node/importer:build.gradle.kts, node/importer:build.gradle.kts, hedera-mirror-node/rest-java:build.gradle.kts, node/web3:build.gradle.kts, node/rest-java:build.gradle.kts, hedera-mirror-node/common:build.gradle.kts, hedera-mirror-node/monitor:build.gradle.kts, hedera-mirror-node/graphql:build.gradle.kts, node/grpc:build.gradle.kts, node/monitor:build.gradle.kts, private-hedera-services/swirlds-common-testing:build.gradle.kts, node/graphql:build.gradle.kts, node/common:build.gradle.kts, node/test:build.gradle.kts, hedera-mirror-node/test:build.gradle.kts, hashgraph/hedera-hcs-sxc-java(main):hcs-sxc-java-examples/hcs-sxc-java-settlement-demo/pom.xml, hashgraph/hedera-hcs-sxc-java(main):hcs-sxc-java-coverage/pom.xml, hashgraph/hedera-hcs-sxc-java(main):hcs-sxc-java-examples/hcs-sxc-java-token-demo/pom.xml",EPL-1.0,https://app.snyk.io/vuln/snyk:lic:EPL-1.0
EPL-2.0,"org.eclipse.jdt:ecj@3.26.0, org.jacoco:org.jacoco.agent@0.8.11, org.jacoco:org.jacoco.agent@0.8.8, org.jacoco:org.jacoco.agent@0.8.9, org.jacoco:org.jacoco.ant@0.8.11, org.jacoco:org.jacoco.ant@0.8.8, org.jacoco:org.jacoco.ant@0.8.9, org.jacoco:org.jacoco.core@0.8.11, org.jacoco:org.jacoco.core@0.8.8, org.jacoco:org.jacoco.core@0.8.9, org.jacoco:org.jacoco.report@0.8.11, org.jacoco:org.jacoco.report@0.8.8, org.jacoco:org.jacoco.report@0.8.9, org.junit:junit-bom@5.10.1, org.junit:junit-bom@5.10.3, org.junit:junit-bom@5.9.1, org.junit:junit-bom@5.9.3, org.junit.jupiter:junit-jupiter@5.10.1, org.junit.jupiter:junit-jupiter@5.10.3, org.junit.jupiter:junit-jupiter@5.9.1, org.junit.jupiter:junit-jupiter@5.9.3, org.junit.jupiter:junit-jupiter-api@5.10.1, org.junit.jupiter:junit-jupiter-api@5.10.3, org.junit.jupiter:junit-jupiter-api@5.9.1, org.junit.jupiter:junit-jupiter-api@5.9.3, org.junit.jupiter:junit-jupiter-engine@5.9.1, org.junit.jupiter:junit-jupiter-params@5.10.1, org.junit.jupiter:junit-jupiter-params@5.10.3, org.junit.jupiter:junit-jupiter-params@5.9.1, org.junit.jupiter:junit-jupiter-params@5.9.3, org.junit-pioneer:junit-pioneer@2.0.1, org.junit.platform:junit-platform-commons@1.10.1, org.junit.platform:junit-platform-commons@1.10.3, org.junit.platform:junit-platform-commons@1.4.2, org.junit.platform:junit-platform-commons@1.9.1, org.junit.platform:junit-platform-commons@1.9.3, org.junit.platform:junit-platform-engine@1.10.1, org.junit.platform:junit-platform-engine@1.10.3, org.junit.platform:junit-platform-engine@1.4.2, org.junit.platform:junit-platform-engine@1.9.1, org.junit.platform:junit-platform-engine@1.9.3, org.junit.platform:junit-platform-launcher@1.10.1, org.junit.platform:junit-platform-launcher@1.10.3, org.junit.platform:junit-platform-launcher@1.4.2, org.junit.platform:junit-platform-launcher@1.9.1, org.junit.platform:junit-platform-launcher@1.9.3, org.junit.platform:junit-platform-suite@1.10.1, org.junit.platform:junit-platform-suite@1.10.3, org.junit.platform:junit-platform-suite-api@1.10.1, org.junit.platform:junit-platform-suite-api@1.10.3, org.junit.vintage:junit-vintage-engine@5.4.2","node/importer:build.gradle.kts, node/web3:build.gradle.kts, node/common:build.gradle.kts, node/rest-java:build.gradle.kts, node/grpc:build.gradle.kts, node/graphql:build.gradle.kts, hedera-mirror-node/rosetta:build.gradle.kts, hedera-mirror-node/web3:build.gradle.kts, hedera-mirror-node/test:build.gradle.kts, hedera-mirror-node/grpc:build.gradle.kts, hedera-mirror-node/importer:build.gradle.kts, hedera-mirror-node/rest-java:build.gradle.kts, hedera-mirror-node/protobuf:build.gradle.kts, hedera-mirror-node/common:build.gradle.kts, hedera-mirror-node/monitor:build.gradle.kts, hedera-mirror-node/rest:build.gradle.kts, hedera-mirror-node/rest/check-state-proof:build.gradle.kts, hedera-mirror-node/graphql:build.gradle.kts, hedera-mirror-node:build.gradle.kts, hedera-mirror-node/rest/monitoring:build.gradle.kts, full-stack-testing/fullstack-servicelocator-core:build.gradle.kts, full-stack-testing/fullstack-classloader-api:build.gradle.kts, full-stack-testing/fullstack-classloader-core:build.gradle.kts, full-stack-testing/fullstack-assert4j-extensions:build.gradle.kts, full-stack-testing/fullstack-servicelocator-api:build.gradle.kts, full-stack-testing/fullstack-validator-api:build.gradle.kts, full-stack-testing/fullstack-validator-core:build.gradle.kts, private-hedera-services/test-clients:build.gradle.kts, private-hedera-services/app-service-file-impl:build.gradle.kts, private-hedera-services/swirlds-config-api:build.gradle.kts, full-stack-testing/fullstack-resource-generator-core:build.gradle.kts, full-stack-testing/fullstack-resource-generator-api:build.gradle.kts, private-hedera-services/app-hapi-fees:build.gradle.kts, full-stack-testing/fullstack-infrastructure-core:build.gradle.kts, full-stack-testing/fullstack-reporting-api:build.gradle.kts, full-stack-testing/fullstack-infrastructure-api:build.gradle.kts, full-stack-testing/fullstack-alerting-api:build.gradle.kts, full-stack-testing/fullstack-test-toolkit:build.gradle.kts, full-stack-testing/fullstack-readiness-api:build.gradle.kts, full-stack-testing/fullstack-service-locator:build.gradle.kts, full-stack-testing/fullstack-base-api:build.gradle.kts, full-stack-testing/fullstack-configuration-api:build.gradle.kts, private-hedera-services/swirlds-test-framework:build.gradle.kts, private-hedera-services/app-service-schedule-impl:build.gradle.kts, private-hedera-services/swirlds-platform-test:build.gradle.kts, private-hedera-services/app-service-util:build.gradle.kts, private-hedera-services/swirlds-common:build.gradle.kts, full-stack-testing/fullstack-helm-client:build.gradle.kts, private-hedera-services/config:build.gradle.kts, private-hedera-services/app-service-evm-impl:build.gradle.kts, private-hedera-services/swirlds-platform-core:build.gradle.kts, private-hedera-services/CryptocurrencyDemo:build.gradle.kts, private-hedera-services/HashgraphDemo:build.gradle.kts, private-hedera-services/swirlds-logging:build.gradle.kts, private-hedera-services/swirlds-merkledb:build.gradle.kts, private-hedera-services/MigrationTestingTool:build.gradle.kts, private-hedera-services/PlatformTestingTool:build.gradle.kts, private-hedera-services/app-service-token-impl:build.gradle.kts, private-hedera-services/app-service-network-admin-impl:build.gradle.kts, private-hedera-services/ConsistencyTestingTool:build.gradle.kts, private-hedera-services/app-service-mono:build.gradle.kts, private-hedera-services/swirlds-merkle-test:build.gradle.kts, private-hedera-services/app-service-token:build.gradle.kts, private-hedera-services/app-service-consensus-impl:build.gradle.kts, private-hedera-services/ISSTestingTool:build.gradle.kts, private-hedera-services/swirlds-platform-gui:build.gradle.kts, private-hedera-services/app-service-network-admin:build.gradle.kts, node/rosetta:build.gradle.kts, private-hedera-services/swirlds-cli:build.gradle.kts, private-hedera-services/swirlds-sign-tool:build.gradle.kts, private-hedera-services/StatsDemo:build.gradle.kts, full-stack-testing/fullstack-datasource-core:build.gradle.kts, full-stack-testing/fullstack-reporting-core:build.gradle.kts, full-stack-testing/fullstack-assertj-extensions:build.gradle.kts, full-stack-testing/fullstack-monitoring-api:build.gradle.kts, private-hedera-services/app-service-util-impl:build.gradle.kts, private-hedera-services/app-service-file:build.gradle.kts, private-hedera-services/swirlds-config-impl:build.gradle.kts, private-hedera-services/swirlds-config-benchmark:build.gradle.kts, private-hedera-services/services-cli:build.gradle.kts, private-hedera-services/hapi:build.gradle.kts, private-hedera-services/app-spi:build.gradle.kts, node/rest/check-state-proof:build.gradle.kts, full-stack-testing/fullstack-examples:build.gradle.kts, private-hedera-services/swirlds-benchmarks:build.gradle.kts, full-stack-testing/fullstack-test-toolkit-api:build.gradle.kts, private-hedera-services/swirlds-base:build.gradle.kts, private-hedera-services/StatsSigningTestingTool:build.gradle.kts, node/test:build.gradle.kts, node/protobuf:build.gradle.kts, private-hedera-services/app-service-evm:build.gradle.kts, private-hedera-services/app-hapi-utils:build.gradle.kts, full-stack-testing/fullstack-gradle-plugin:build.gradle.kts, private-hedera-services/app-service-consensus:build.gradle.kts, private-hedera-services/app-service-contract:build.gradle.kts, node/monitor:build.gradle.kts, private-hedera-services/swirlds-platform:build.gradle.kts, full-stack-testing/fullstack-monitoring-core:build.gradle.kts, private-hedera-services/swirlds-fchashmap:build.gradle.kts, private-hedera-services/app-service-schedule:build.gradle.kts, private-hedera-services/swirlds-common-testing:build.gradle.kts, private-hedera-services/app:build.gradle.kts, private-hedera-services/HelloSwirldDemo:build.gradle.kts, private-hedera-services/swirlds-virtualmap:build.gradle.kts, node/rest/monitoring:build.gradle.kts, private-hedera-services/swirlds-fcqueue:build.gradle.kts, node/rest:build.gradle.kts, private-hedera-services/swirlds:build.gradle.kts, full-stack-testing/fullstack-configuration-core:build.gradle.kts, full-stack-testing/fullstack-datasource-api:build.gradle.kts, full-stack-testing/fullstack-junit-support:build.gradle.kts, full-stack-testing/fullstack-alerting-core:build.gradle.kts, full-stack-testing/fullstack-test-toolkit-core:build.gradle.kts, private-hedera-services/app-service-contract-impl:build.gradle.kts, private-hedera-services/AddressBookTestingTool:build.gradle.kts, private-hedera-services/swirlds-merkle:build.gradle.kts, full-stack-testing/fullstack-bom:build.gradle.kts, hashgraph/fabric-samples-hcs(master):fabcar/java/pom.xml",EPL-2.0,https://app.snyk.io/vuln/snyk:lic:EPL-2.0
EUPL-1.1,"org.testfx:testfx-core@4.0.16-alpha, org.testfx:testfx-junit5@4.0.16-alpha",hashgraph/hedera-transaction-tool-demo(main):tools-ui/pom.xml,EUPL-1.1,https://app.snyk.io/vuln/snyk:lic:EUPL-1.1
GPL-2.0,github.com/golang/freetype@v0.0.0-20170609003504-e2365dfdc4a0,"hashgraph/private-hedera-services:hedera-node/test-clients/uniswap-go-clients/go.mod, hashgraph/hedera-mirror-node(main):hedera-mirror-rosetta/go.mod",GPL-2.0,https://app.snyk.io/vuln/snyk:lic:GPL-2.0
